file,shape,dtype,ndim,min,max,mean,std,error
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000000.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000001.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000002.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000003.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000004.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000005.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000006.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000007.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000008.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
data\official\Test_NoisyLR\__MACOSX\NoisyLR\._000009.npy,ERROR,ERROR,-1,0.0,0.0,0.0,0.0,This file contains pickled (object) data. If you trust the file you can load it unsafely using the `allow_pickle=` keyword argument or `pickle.load()`.
